County,Total Cases1,Total deaths2,,,,
Baker,946,14,,,,
Benton,3039,19,,,,
Clackamas,17186,209,,,,
Clatsop,972,8,,,,
Columbia,1715,26,,,,
Coos,2049,33,,,,
Crook,1073,20,,,,
Curry,645,9,,,,
Deschutes,8703,74,,,,
Douglas,3225,70,,,,
Gilliam,62,1,,,,
Grant,506,5,,,,
Harney,338,8,,,,
Hood River,1181,30,,,,
Jackson,10733,135,,,,
Jefferson,2170,34,,,,
Josephine,3308,68,,,,
Klamath,4330,61,,,,
Lake,444,7,,,,
Lane,12838,145,,,,
Lincoln,1371,20,,,,
Linn,4828,67,,,,
Malheur,3504,61,,,,
Marion,21814,306,,,,
Morrow,1101,15,,,,
Multnomah,37970,584,,,,
Polk,3710,52,,,,
Sherman,58,1,,,,
Tillamook,640,3,,,,
Umatilla,8140,84,,,,
Union,1444,23,,,,
Wallowa,182,5,,,,
Wasco,1370,28,,,,
Washington,25360,229,,,,
Wheeler,28,1,,,,
Yamhill,4422,75,,,,
Total,191405,2530,,,,
