County,Cases1,Deaths2
Baker,917,14
Benton,2907,19
Clackamas,16398,208
Clatsop,949,8
Columbia,1643,26
Coos,2028,32
Crook,988,20
Curry,634,9
Deschutes,8029,73
Douglas,3144,69
Gilliam,57,1
Grant,492,4
Harney,327,8
Hood River,1158,30
Jackson,10476,130
Jefferson,2130,32
Josephine,3226,67
Klamath,4007,59
Lake,435,7
Lane,12342,144
Lincoln,1346,20
Linn,4520,65
Malheur,3458,60
Marion,21198,300
Morrow,1092,15
Multnomah,36724,574
Polk,3595,52
Sherman,57,1
Tillamook,622,3
Umatilla,8080,84
Union,1432,23
Wallowa,172,5
Wasco,1353,28
Washington,24577,229
Wheeler,26,1
Yamhill,4273,75
Total,184812,2495
