County,Cases1,Deaths2,Negatives3
Baker,53,0,1239
Benton,186,6,9397
Clackamas,1699,50,45376
Clatsop,92,0,4145
Columbia,113,1,5101
Coos,93,0,4492
Crook,53,1,1956
Curry,19,0,1157
Deschutes,645,11,20759
Douglas,162,1,9082
Gilliam,4,0,209
Grant,4,0,605
Harney,11,0,626
Hood River,218,0,4111
Jackson,576,2,21503
Jefferson,413,5,3783
Josephine,140,2,7626
Klamath,210,2,7979
Lake,32,0,589
Lane,629,4,47442
Lincoln,440,9,7202
Linn,338,11,12061
Malheur,916,15,3719
Marion,3234,73,34973
Morrow,407,3,1348
Multnomah,5387,102,104922
Polk,367,12,6058
Sherman,16,0,284
Tillamook,35,0,2311
Umatilla,2456,32,10254
Union,398,2,2737
Wallowa,21,1,743
Wasco,203,3,4029
Washington,3358,27,67743
Wheeler,0,0,143
Yamhill,523,13,12062
Total,23451,388,467766
