Updated_12/31/2020_with_data_from_12:01_am_(updated_Monday_-_Friday)
Total cases,"113,909"
Total deaths,"1,477"
Positive tests,"156,276"
Negative tests,"2,496,394"
Total tests,"2,652,670"
