County,Cases1,Deaths2
Baker,971,15
Benton,3187,22
Clackamas,18242,223
Clatsop,1008,8
Columbia,1821,29
Coos,2141,36
Crook,1197,22
Curry,664,10
Deschutes,9604,79
Douglas,3525,74
Gilliam,64,1
Grant,529,6
Harney,377,8
Hood River,1203,32
Jackson,11208,143
Jefferson,2298,38
Josephine,3464,72
Klamath,4663,73
Lake,462,7
Lane,13455,152
Lincoln,1397,21
Linn,5320,76
Malheur,3560,63
Marion,22767,316
Morrow,1130,16
Multnomah,39422,606
Polk,3866,53
Sherman,59,1
Tillamook,662,4
Umatilla,8388,86
Union,1464,23
Wallowa,187,5
Wasco,1414,28
Washington,26255,238
Wheeler,34,1
Yamhill,4624,78
Total,200632,2665
