County,Cases1,Deaths2
Baker,787,12
Benton,2630,18
Clackamas,14626,201
Clatsop,854,7
Columbia,1453,25
Coos,1917,30
Crook,824,19
Curry,564,9
Deschutes,6535,72
Douglas,2955,65
Gilliam,54,1
Grant,300,4
Harney,298,6
Hood River,1089,29
Jackson,9458,124
Jefferson,2025,32
Josephine,2888,62
Klamath,3118,57
Lake,408,7
Lane,11016,144
Lincoln,1241,20
Linn,3945,61
Malheur,3409,58
Marion,19577,298
Morrow,1067,15
Multnomah,33776,564
OutofState,0,0
Polk,3307,50
Sherman,56,0
Tillamook,545,2
Umatilla,7898,83
Union,1395,23
Wallowa,154,5
Wasco,1250,28
Washington,22686,228
Wheeler,25,1
Yamhill,3998,74
Total,168128,2434
