County,Case Count,Deaths,Negatives
Baker,369,4,0
Benton,1097,8,0
Clackamas,8374,99,0
Clatsop,465,1,0
Columbia,689,7,0
Coos,597,4,0
Crook,360,6,0
Curry,221,2,0
Deschutes,3293,18,0
Douglas,1214,34,0
Gilliam,26,1,0
Grant,161,1,0
Harney,117,1,0
Hood River,605,7,0
Jackson,4978,52,0
Jefferson,1166,12,0
Josephine,854,11,0
Klamath,1436,12,0
Lake,177,2,0
Lane,5737,73,0
Lincoln,780,16,0
Linn,2128,29,0
Malheur,2642,47,0
Marion,11714,186,0
Morrow,748,7,0
Multnomah,21764,323,0
Polk,1629,24,0
Sherman,27,0,0
Tillamook,200,0,0
Umatilla,4946,53,0
Union,912,11,0
Wallowa,75,3,0
Wasco,706,19,0
Washington,13636,120,0
Wheeler,11,0,0
Yamhill,2238,20,0
Total,96092,1213,0
