Hospital_capacity_and_usage5,Available,Total_staffed
Adult ICU beds,157,718
Adult non-ICU beds,587,"4,522"
Pediatric NICU/PICU beds,136,392
Pediatric non-ICU beds,136,336
Ventilators,774,
