County,Cases1,Deaths2
Baker,1035,15
Benton,3281,22
Clackamas,19054,235
Clatsop,1069,9
Columbia,1947,29
Coos,2188,37
Crook,1300,23
Curry,741,11
Deschutes,10088,82
Douglas,3946,83
Gilliam,81,1
Grant,552,7
Harney,436,10
Hood River,1223,33
Jackson,11614,147
Jefferson,2385,39
Josephine,3652,72
Klamath,4788,78
Lake,470,8
Lane,14002,166
Lincoln,1453,21
Linn,5717,81
Malheur,3624,63
Marion,23566,325
Morrow,1164,16
Multnomah,40530,614
Polk,4033,56
Sherman,70,1
Tillamook,669,4
Umatilla,8645,87
Union,1507,24
Wallowa,196,5
Wasco,1458,30
Washington,26898,249
Wheeler,35,1
Yamhill,4805,79
Total,208222,2763
