County,Cases1,Deaths2
Baker,611,7
Benton,2151,14
Clackamas,13018,160
Clatsop,761,6
Columbia,1167,21
Coos,1250,17
Crook,740,16
Curry,367,6
Deschutes,5671,52
Douglas,2116,51
Gilliam,53,1
Grant,220,1
Harney,243,6
Hood River,1045,27
Jackson,7861,106
Jefferson,1877,26
Josephine,2171,45
Klamath,2711,54
Lake,346,6
Lane,9755,121
Lincoln,1114,18
Linn,3478,53
Malheur,3298,57
Marion,17929,272
Morrow,1011,13
Multnomah,31067,503
Polk,2891,42
Sherman,52,0
Tillamook,391,2
Umatilla,7438,77
Union,1238,19
Wallowa,133,4
Wasco,1209,24
Washington,20547,206
Wheeler,22,1
Yamhill,3624,60
Total,149576,2094
