County,Cases1,Deaths2
Baker,892,14
Benton,2811,19
Clackamas,15729,205
Clatsop,918,8
Columbia,1588,26
Coos,1998,31
Crook,923,19
Curry,607,9
Deschutes,7472,73
Douglas,3078,67
Gilliam,57,1
Grant,436,4
Harney,317,7
Hood River,1145,29
Jackson,10186,129
Jefferson,2091,32
Josephine,3130,64
Klamath,3728,59
Lake,419,7
Lane,11929,144
Lincoln,1317,20
Linn,4281,64
Malheur,3438,59
Marion,20623,299
Morrow,1086,15
Multnomah,35705,571
Polk,3517,52
Sherman,57,1
Tillamook,592,3
Umatilla,8021,84
Union,1421,23
Wallowa,159,5
Wasco,1323,28
Washington,23927,229
Wheeler,26,1
Yamhill,4173,75
Total,179120,2476
