County,Cases1,Total deaths2,Negative tests3
Baker,30,0,950
Benton,154,6,8215
Clackamas,1377,36,37968
Clatsop,78,0,3479
Columbia,78,0,4280
Coos,84,0,3905
Crook,43,1,1677
Curry,14,0,1013
Deschutes,530,8,17546
Douglas,128,1,7754
Gilliam,4,0,157
Grant,2,0,504
Harney,8,0,550
Hood River,165,0,3558
Jackson,370,1,18583
Jefferson,303,3,3076
Josephine,103,1,6597
Klamath,194,1,6897
Lake,32,0,482
Lane,511,3,40262
Lincoln,391,9,6657
Linn,244,10,10493
Malheur,663,9,3125
Marion,2614,67,29101
Morrow,296,1,1078
Multnomah,4403,92,86036
Polk,286,12,4771
Sherman,13,0,241
Tillamook,24,0,1984
Umatilla,1977,24,8827
Union,388,2,2407
Wallowa,19,1,664
Wasco,158,3,3251
Washington,2783,23,55434
Wheeler,0,0,137
Yamhill,350,11,9140
Total,18817,325,390799
