County,Cases1,Deaths2
Baker,695,12
Benton,2470,18
Clackamas,13788,196
Clatsop,798,6
Columbia,1300,23
Coos,1751,23
Crook,794,18
Curry,494,8
Deschutes,6147,70
Douglas,2751,58
Gilliam,54,1
Grant,256,1
Harney,282,6
Hood River,1074,29
Jackson,8882,120
Jefferson,1997,31
Josephine,2581,59
Klamath,2895,56
Lake,392,6
Lane,10520,138
Lincoln,1168,20
Linn,3696,59
Malheur,3378,58
Marion,18982,293
Morrow,1055,14
Multnomah,32545,556
Polk,3145,48
Sherman,53,0
Tillamook,462,2
Umatilla,7795,82
Union,1343,20
Wallowa,145,5
Wasco,1234,26
Washington,21811,221
Wheeler,25,1
Yamhill,3864,69
Total,160622,2353
