Hospital_capacity_and_usage5,Available,Total_staffed
Adult ICU beds,201,780
Adult non-ICU beds,1072,4520
Pediatric NICU/PICU beds,97,287
Pediatric non-ICU beds,141,347
Ventilators,790,
