County,Cases1,Deaths2
Baker,923,14
Benton,2966,19
Clackamas,16748,209
Clatsop,961,8
Columbia,1671,26
Coos,2039,32
Crook,1016,20
Curry,635,9
Deschutes,8288,73
Douglas,3180,70
Gilliam,57,1
Grant,496,4
Harney,332,8
Hood River,1167,30
Jackson,10573,131
Jefferson,2143,33
Josephine,3263,67
Klamath,4149,60
Lake,439,7
Lane,12565,144
Lincoln,1364,20
Linn,4652,66
Malheur,3477,61
Marion,21457,303
Morrow,1095,15
Multnomah,37286,577
Polk,3642,52
Sherman,58,1
Tillamook,629,3
Umatilla,8104,84
Union,1438,23
Wallowa,176,5
Wasco,1361,28
Washington,24904,229
Wheeler,26,1
Yamhill,4331,75
Total,187611,2508
