County,Cases1,Deaths2
Baker,996,15
Benton,3241,22
Clackamas,18798,235
Clatsop,1034,8
Columbia,1892,29
Coos,2159,37
Crook,1280,23
Curry,688,11
Deschutes,9948,81
Douglas,3814,80
Gilliam,75,1
Grant,548,7
Harney,424,9
Hood River,1218,33
Jackson,11459,146
Jefferson,2357,38
Josephine,3536,72
Klamath,4760,78
Lake,467,8
Lane,13803,158
Lincoln,1414,21
Linn,5525,79
Malheur,3601,63
Marion,23289,322
Morrow,1150,16
Multnomah,40171,613
Polk,3951,55
Sherman,66,1
Tillamook,660,4
Umatilla,8531,86
Union,1489,24
Wallowa,194,5
Wasco,1435,30
Washington,26690,247
Wheeler,35,1
Yamhill,4761,79
Total,205459,2737
