Updated_3/23/2021_with_data_from_12:01_am_(updated_Monday_-_Friday)
Total cases,"162,016"
Total deaths,"2,367"
Positive tests,"234,832"
Negative tests,"3,850,814"
Total tests,"4,085,646"
