Hospital_capacity_and_usage5,Available,Total_staffed
Adult ICU beds,175,708
Adult non-ICU beds,675,"4,527"
Pediatric NICU/PICU beds,135,390
Pediatric non-ICU beds,116,337
Ventilators,747,
