County,Cases1,Deaths2,Negatives3
Baker,1,0,216
Benton,55,5,3667
Clackamas,305,11,11154
Clatsop,45,0,1468
Columbia,16,0,1490
Coos,31,0,1425
Crook,6,0,539
Curry,7,0,332
Deschutes,121,0,5059
Douglas,26,0,2490
Gilliam,0,0,54
Grant,1,0,100
Harney,1,0,204
Hood River,14,0,998
Jackson,65,0,6649
Jefferson,28,0,834
Josephine,23,1,2127
Klamath,42,0,3397
Lake,2,0,124
Lane,68,2,9799
Lincoln,12,0,1437
Linn,115,9,3910
Malheur,32,0,687
Marion,942,25,9249
Morrow,12,0,172
Multnomah,1121,59,25556
Polk,98,11,1780
Sherman,1,0,75
Tillamook,6,0,691
Umatilla,114,3,1598
Union,6,0,397
Wallowa,2,0,126
Wasco,22,1,1103
Washington,722,17,16747
Wheeler,0,0,96
Yamhill,69,7,2781
Total,4131,151,118531
