County,Cases1,Deaths2
Baker,488,5
Benton,1403,11
Clackamas,10406,112
Clatsop,588,3
Columbia,894,15
Coos,808,12
Crook,471,7
Curry,295,3
Deschutes,4207,22
Douglas,1453,40
Gilliam,39,1
Grant,170,1
Harney,143,2
Hood River,843,17
Jackson,6108,72
Jefferson,1540,18
Josephine,1314,22
Klamath,2022,18
Lake,201,4
Lane,7227,94
Lincoln,912,17
Linn,2740,33
Malheur,2926,50
Marion,14561,215
Morrow,843,8
Multnomah,26028,394
Polk,2084,33
Sherman,31,0
Tillamook,327,0
Umatilla,5863,57
Union,992,15
Wallowa,80,3
Wasco,930,22
Washington,16735,145
Wheeler,17,1
Yamhill,2764,34
Total,118453,1506
