County,Cases1,Deaths2,Negatives3
Baker,55,1,1296
Benton,196,6,9803
Clackamas,1769,55,47083
Clatsop,92,0,4363
Columbia,121,1,5291
Coos,94,0,4829
Crook,54,1,2073
Curry,20,0,1210
Deschutes,657,11,21875
Douglas,169,2,9498
Gilliam,4,0,233
Grant,4,0,633
Harney,11,0,654
Hood River,223,0,4182
Jackson,654,2,22350
Jefferson,436,6,3908
Josephine,149,2,8109
Klamath,221,2,8326
Lake,32,0,606
Lane,647,5,49030
Lincoln,450,11,7369
Linn,353,12,12621
Malheur,991,16,3856
Marion,3425,74,36412
Morrow,418,3,1386
Multnomah,5543,108,108882
Polk,387,13,6378
Sherman,17,0,290
Tillamook,36,0,2383
Umatilla,2514,32,10639
Union,407,2,2802
Wallowa,21,1,784
Wasco,206,3,4104
Washington,3477,32,70535
Wheeler,0,0,146
Yamhill,568,13,12961
Total,24421,414,486900
