County,Cases1,Deaths2
Baker,927,14
Benton,2985,19
Clackamas,16869,209
Clatsop,963,8
Columbia,1677,26
Coos,2039,32
Crook,1031,20
Curry,636,9
Deschutes,8370,73
Douglas,3192,70
Gilliam,57,1
Grant,498,4
Harney,332,8
Hood River,1172,30
Jackson,10613,131
Jefferson,2146,33
Josephine,3281,67
Klamath,4186,60
Lake,442,7
Lane,12607,145
Lincoln,1365,20
Linn,4687,66
Malheur,3485,61
Marion,21516,303
Morrow,1097,15
Multnomah,37445,577
Polk,3657,52
Sherman,58,1
Tillamook,631,3
Umatilla,8112,84
Union,1439,23
Wallowa,178,5
Wasco,1362,28
Washington,24988,229
Wheeler,26,1
Yamhill,4348,75
Total,188417,2509
