County,Cases1,Deaths2,Negatives3
Baker,28,0,922
Benton,151,6,8113
Clackamas,1361,36,37496
Clatsop,73,0,3464
Columbia,73,0,4253
Coos,84,0,3878
Crook,42,1,1651
Curry,14,0,1002
Deschutes,517,7,17141
Douglas,125,1,7725
Gilliam,4,0,153
Grant,2,0,503
Harney,8,0,542
Hood River,165,0,3522
Jackson,352,1,18451
Jefferson,299,3,3028
Josephine,98,1,6547
Klamath,194,1,6837
Lake,32,0,479
Lane,501,3,39896
Lincoln,391,9,6615
Linn,238,10,10347
Malheur,646,9,3087
Marion,2575,67,28669
Morrow,289,2,1058
Multnomah,4335,92,84824
Polk,282,12,4724
Sherman,9,0,239
Tillamook,24,0,1971
Umatilla,1943,23,8663
Union,388,2,2391
Wallowa,19,1,652
Wasco,154,3,3209
Washington,2740,22,54500
Wheeler,0,0,135
Yamhill,336,10,9014
Total,18492,322,385701
