County,Cases1,Deaths2,Negatives3
Baker,111,2,2004
Benton,392,6,15828
Clackamas,2792,65,66771
Clatsop,235,0,6228
Columbia,232,1,7859
Coos,196,0,7918
Crook,71,1,2821
Curry,55,0,2067
Deschutes,996,13,34259
Douglas,288,4,14149
Gilliam,11,0,333
Grant,10,0,973
Harney,13,0,880
Hood River,268,0,5446
Jackson,1385,6,37268
Jefferson,590,8,5247
Josephine,247,2,13114
Klamath,390,3,11092
Lake,35,0,980
Lane,1867,21,71564
Lincoln,501,13,9286
Linn,699,14,18588
Malheur,1788,34,5805
Marion,5258,102,54137
Morrow,532,6,1920
Multnomah,8086,148,156115
Polk,590,15,10441
Sherman,18,0,360
Tillamook,65,0,3328
Umatilla,3194,42,14186
Union,453,2,4737
Wallowa,36,1,1074
Wasco,328,14,5509
Washington,5146,67,101960
Wheeler,1,0,173
Yamhill,901,15,19077
Total,37780,605,713497
