County,Cases1,Deaths2
Baker,460,5
Benton,1323,11
Clackamas,9917,112
Clatsop,549,3
Columbia,828,14
Coos,748,9
Crook,443,7
Curry,277,3
Deschutes,3927,22
Douglas,1366,38
Gilliam,37,1
Grant,170,1
Harney,131,2
Hood River,801,14
Jackson,5780,71
Jefferson,1392,17
Josephine,1165,22
Klamath,1874,16
Lake,195,4
Lane,6809,92
Lincoln,870,17
Linn,2597,32
Malheur,2863,50
Marion,13741,208
Morrow,805,8
Multnomah,24959,388
Polk,1939,30
Sherman,31,0
Tillamook,303,0
Umatilla,5497,56
Union,977,14
Wallowa,76,3
Wasco,894,22
Washington,15887,141
Wheeler,17,1
Yamhill,2612,34
Total,112260,1468
