County,Cases1,Deaths2,Negatives3
Baker,91,2,1545
Benton,288,6,12495
Clackamas,2314,61,57750
Clatsop,127,0,5368
Columbia,155,1,6777
Coos,147,0,6583
Crook,61,1,2497
Curry,31,0,1754
Deschutes,789,12,28627
Douglas,221,3,12381
Gilliam,8,0,268
Grant,8,0,874
Harney,12,0,778
Hood River,248,0,4827
Jackson,1091,4,32387
Jefferson,516,8,4534
Josephine,194,2,11488
Klamath,277,2,9965
Lake,28,0,863
Lane,1059,16,61465
Lincoln,475,13,8518
Linn,480,13,15854
Malheur,1575,25,4892
Marion,4522,92,45815
Morrow,490,6,1712
Multnomah,6938,136,135109
Polk,511,15,8562
Sherman,18,0,329
Tillamook,51,0,2968
Umatilla,2928,41,12836
Union,435,2,3506
Wallowa,28,1,954
Wasco,273,3,4811
Washington,4369,59,88767
Wheeler,0,0,161
Yamhill,745,14,16602
Total,31503,538,614622
