County,Cases1,Deaths2
Baker,790,13
Benton,2632,18
Clackamas,14691,201
Clatsop,860,7
Columbia,1463,25
Coos,1924,30
Crook,828,19
Curry,567,9
Deschutes,6581,72
Douglas,2969,65
Gilliam,55,1
Grant,307,4
Harney,298,6
Hood River,1094,29
Jackson,9546,126
Jefferson,2030,32
Josephine,2915,62
Klamath,3160,57
Lake,407,7
Lane,11062,144
Lincoln,1249,20
Linn,3965,61
Malheur,3410,58
Marion,19623,298
Morrow,1068,15
Multnomah,33878,564
Polk,3321,51
Sherman,56,0
Tillamook,553,2
Umatilla,7904,83
Union,1396,23
Wallowa,154,5
Wasco,1251,28
Washington,22756,229
Wheeler,25,1
Yamhill,4007,74
Total,168795,2439
