County,Cases1,Deaths2
Baker,623,7
Benton,2220,16
Clackamas,13144,169
Clatsop,764,6
Columbia,1186,21
Coos,1309,18
Crook,760,18
Curry,378,6
Deschutes,5812,58
Douglas,2272,51
Gilliam,53,1
Grant,221,1
Harney,263,6
Hood River,1052,29
Jackson,8027,107
Jefferson,1912,27
Josephine,2226,48
Klamath,2737,54
Lake,367,6
Lane,9960,121
Lincoln,1118,19
Linn,3518,54
Malheur,3320,58
Marion,18075,279
Morrow,1020,13
Multnomah,31406,513
Polk,2948,42
Sherman,52,0
Tillamook,401,2
Umatilla,7496,80
Union,1259,19
Wallowa,139,4
Wasco,1217,25
Washington,20751,208
Wheeler,22,1
Yamhill,3685,62
Total,151713,2149
