County,Cases1,Total deaths2,Negative tests3
Baker,64,1,1301
Benton,201,6,9905
Clackamas,1792,55,47555
Clatsop,93,0,4446
Columbia,121,1,5372
Coos,97,0,4877
Crook,54,1,2094
Curry,20,0,1225
Deschutes,664,11,22299
Douglas,169,2,9604
Gilliam,4,0,235
Grant,8,0,642
Harney,11,0,658
Hood River,225,0,4218
Jackson,674,2,22579
Jefferson,440,6,3950
Josephine,150,2,8184
Klamath,221,2,8411
Lake,32,0,604
Lane,652,5,49440
Lincoln,453,11,7376
Linn,356,12,12709
Malheur,1009,16,3893
Marion,3476,75,36783
Morrow,419,3,1389
Multnomah,5597,109,109910
Polk,390,13,6465
Sherman,16,0,294
Tillamook,37,0,2393
Umatilla,2530,32,10664
Union,408,2,2802
Wallowa,21,1,787
Wasco,207,3,4131
Washington,3518,32,71313
Wheeler,0,0,146
Yamhill,581,14,13100
Total,24710,417,491754
