County,Cases1,Deaths2
Baker,861,14
Benton,2754,18
Clackamas,15499,204
Clatsop,900,8
Columbia,1554,26
Coos,1984,31
Crook,891,19
Curry,599,9
Deschutes,7214,72
Douglas,3057,65
Gilliam,57,1
Grant,420,4
Harney,313,6
Hood River,1130,29
Jackson,9984,127
Jefferson,2074,32
Josephine,3078,62
Klamath,3537,59
Lake,414,7
Lane,11722,144
Lincoln,1305,20
Linn,4187,63
Malheur,3430,58
Marion,20282,299
Morrow,1081,15
Multnomah,35145,568
Polk,3464,52
Sherman,57,1
Tillamook,583,3
Umatilla,7984,83
Union,1418,23
Wallowa,157,5
Wasco,1302,28
Washington,23569,229
Wheeler,26,1
Yamhill,4125,75
Total,176157,2460
