County,Cases1,Deaths2
Baker,812,13
Benton,2673,18
Clackamas,14975,202
Clatsop,876,8
Columbia,1505,25
Coos,1947,31
Crook,846,19
Curry,582,9
Deschutes,6793,72
Douglas,3008,65
Gilliam,55,1
Grant,346,4
Harney,303,6
Hood River,1107,29
Jackson,9709,126
Jefferson,2048,32
Josephine,2981,62
Klamath,3292,57
Lake,412,7
Lane,11295,144
Lincoln,1282,20
Linn,4039,62
Malheur,3421,58
Marion,19838,299
Morrow,1071,15
Multnomah,34320,566
Polk,3363,51
Sherman,56,0
Tillamook,569,2
Umatilla,7926,83
Union,1404,23
Wallowa,156,5
Wasco,1264,28
Washington,23060,229
Wheeler,25,1
Yamhill,4039,74
Total,171398,2446
