County,Cases1,Deaths2
Baker,947,14
Benton,3071,19
Clackamas,17323,212
Clatsop,979,8
Columbia,1728,26
Coos,2050,33
Crook,1086,21
Curry,645,9
Deschutes,8821,74
Douglas,3244,70
Gilliam,62,1
Grant,507,5
Harney,343,8
Hood River,1184,30
Jackson,10783,137
Jefferson,2176,34
Josephine,3328,69
Klamath,4373,64
Lake,448,7
Lane,12911,146
Lincoln,1371,20
Linn,4873,67
Malheur,3508,62
Marion,21915,306
Morrow,1104,16
Multnomah,38115,587
Polk,3722,52
Sherman,58,1
Tillamook,645,3
Umatilla,8166,84
Union,1447,23
Wallowa,183,5
Wasco,1373,28
Washington,25452,231
Wheeler,30,1
Yamhill,4445,76
Total,192416,2549
