County,Positive,Deaths,Negative
Baker,0,0,19
Benton,22,2,544
Clackamas,121,3,2493
Clatsop,6,0,253
Columbia,10,0,306
Coos,1,0,303
Crook,1,0,100
Curry,3,0,91
Deschutes,53,0,1021
Douglas,12,0,478
Gilliam,0,0,13
Grant,1,0,30
Harney,0,0,43
Hood River,4,0,244
Jackson,44,0,2780
Jefferson,0,0,94
Josephine,17,1,600
Klamath,25,0,577
Lake,0,0,46
Lane,35,1,1172
Lincoln,4,0,223
Linn,51,4,1091
Malheur,3,0,133
Marion,263,9,2289
Morrow,5,0,37
Multnomah,343,18,6357
Polk,30,1,451
Sherman,1,0,9
Tillamook,4,0,135
Umatilla,14,0,322
Union,4,0,67
Wallowa,1,0,21
Wasco,9,0,264
Washington,330,6,3854
Wheeler,0,0,6
Yamhill,30,6,725
Total,1447,51,27191
