County,Cases1,Deaths2
Baker,583,5
Benton,1823,14
Clackamas,12085,141
Clatsop,707,5
Columbia,1076,18
Coos,1020,15
Crook,662,13
Curry,325,5
Deschutes,5212,40
Douglas,1785,45
Gilliam,53,1
Grant,217,1
Harney,182,6
Hood River,986,21
Jackson,7189,96
Jefferson,1738,25
Josephine,1854,36
Klamath,2550,46
Lake,257,5
Lane,8803,113
Lincoln,1038,17
Linn,3219,50
Malheur,3201,55
Marion,16787,248
Morrow,967,10
Multnomah,29216,464
Polk,2587,40
Sherman,47,0
Tillamook,371,2
Umatilla,7011,73
Union,1154,17
Wallowa,99,3
Wasco,1125,23
Washington,19330,179
Wheeler,20,1
Yamhill,3308,49
Total,138587,1882
