County,Cases1,Deaths2,Negatives3
Baker,13,0,691
Benton,124,6,7040
Clackamas,1097,30,30336
Clatsop,59,0,2927
Columbia,61,0,3566
Coos,64,0,3164
Crook,20,1,1263
Curry,9,0,834
Deschutes,328,1,13394
Douglas,78,1,6243
Gilliam,2,0,131
Grant,1,0,435
Harney,2,0,471
Hood River,116,0,2937
Jackson,215,0,14938
Jefferson,184,0,2470
Josephine,66,1,5363
Klamath,146,1,5886
Lake,24,0,367
Lane,346,3,30811
Lincoln,365,7,5386
Linn,193,10,8466
Malheur,473,5,2528
Marion,2063,57,22453
Morrow,176,1,858
Multnomah,3285,74,69109
Polk,193,12,3568
Sherman,5,0,199
Tillamook,22,0,1681
Umatilla,1227,9,6250
Union,379,2,2010
Wallowa,15,0,530
Wasco,124,3,2717
Washington,2105,21,43848
Wheeler,0,0,130
Yamhill,222,9,7393
Total,13802,254,310393
