County,Positive,Deaths,Negative
Baker,0,0,80
Benton,32,5,1419
Clackamas,225,7,5761
Clatsop,7,0,517
Columbia,14,0,769
Coos,25,0,639
Crook,1,0,233
Curry,4,0,172
Deschutes,78,0,2164
Douglas,24,0,1160
Gilliam,0,0,22
Grant,1,0,54
Harney,1,0,67
Hood River,9,0,512
Jackson,49,0,4288
Jefferson,13,0,332
Josephine,22,1,1114
Klamath,39,0,2125
Lake,0,0,72
Lane,54,2,3885
Lincoln,5,0,591
Linn,87,7,1976
Malheur,13,0,264
Marion,544,19,4480
Morrow,9,0,92
Multnomah,739,46,13575
Polk,41,2,880
Sherman,1,0,32
Tillamook,6,0,333
Umatilla,64,1,728
Union,4,0,131
Wallowa,1,0,38
Wasco,13,1,626
Washington,516,11,8744
Wheeler,0,0,13
Yamhill,39,7,1486
Total,2680,109,59374
