County,Cases1,Deaths2,Negatives3
Baker,86,2,1438
Benton,234,6,11338
Clackamas,2112,58,54413
Clatsop,100,0,5053
Columbia,137,1,6266
Coos,129,0,5854
Crook,59,1,2361
Curry,24,0,1473
Deschutes,708,12,25804
Douglas,182,3,11444
Gilliam,4,0,256
Grant,8,0,811
Harney,12,0,739
Hood River,238,0,4610
Jackson,936,3,26208
Jefferson,479,7,4354
Josephine,174,2,9875
Klamath,239,2,9332
Lake,30,0,793
Lane,817,11,56488
Lincoln,471,13,8143
Linn,421,13,14724
Malheur,1326,22,4545
Marion,4141,85,42960
Morrow,463,4,1583
Multnomah,6399,125,127495
Polk,464,15,7864
Sherman,18,0,319
Tillamook,44,0,2761
Umatilla,2803,40,12177
Union,427,2,3073
Wallowa,23,1,878
Wasco,224,3,4505
Washington,4029,52,82860
Wheeler,0,0,156
Yamhill,693,14,15381
Total,28654,497,568334
