County,Cases1,Deaths2,Negatives3
Baker,92,2,1740
Benton,307,6,12763
Clackamas,2377,61,60256
Clatsop,205,0,5446
Columbia,162,1,6898
Coos,152,0,6732
Crook,61,1,2531
Curry,31,0,1771
Deschutes,810,12,29135
Douglas,223,4,12615
Gilliam,8,0,273
Grant,9,0,885
Harney,12,0,787
Hood River,248,0,4919
Jackson,1123,5,32894
Jefferson,524,8,4630
Josephine,197,2,11681
Klamath,280,2,10065
Lake,32,0,870
Lane,1143,17,63001
Lincoln,478,13,8603
Linn,508,13,16183
Malheur,1609,26,5154
Marion,4627,92,47046
Morrow,498,6,1726
Multnomah,7081,137,140193
Polk,523,15,8764
Sherman,18,0,331
Tillamook,52,0,3027
Umatilla,2948,41,12950
Union,443,2,3559
Wallowa,28,1,965
Wasco,282,3,4920
Washington,4468,59,90258
Wheeler,0,0,161
Yamhill,755,13,16860
Total,32314,542,630592
