County,Cases1,Deaths2
Baker,687,11
Benton,2430,18
Clackamas,13647,192
Clatsop,785,6
Columbia,1294,21
Coos,1679,21
Crook,786,18
Curry,469,7
Deschutes,6097,68
Douglas,2691,58
Gilliam,54,1
Grant,240,1
Harney,278,6
Hood River,1074,29
Jackson,8734,120
Jefferson,1990,30
Josephine,2490,58
Klamath,2855,55
Lake,390,6
Lane,10458,133
Lincoln,1152,20
Linn,3658,57
Malheur,3371,58
Marion,18816,290
Morrow,1053,14
Multnomah,32300,552
Polk,3121,46
Sherman,53,0
Tillamook,448,2
Umatilla,7748,82
Union,1332,20
Wallowa,144,5
Wasco,1228,26
Washington,21621,218
Wheeler,22,1
Yamhill,3842,69
Total,159037,2319
