County,Cases1,Deaths2
Baker,663,9
Benton,2348,17
Clackamas,13426,183
Clatsop,777,6
Columbia,1274,21
Coos,1524,20
Crook,776,18
Curry,429,6
Deschutes,5975,61
Douglas,2527,55
Gilliam,54,1
Grant,225,1
Harney,277,6
Hood River,1069,29
Jackson,8489,114
Jefferson,1966,28
Josephine,2365,53
Klamath,2798,55
Lake,378,6
Lane,10325,129
Lincoln,1136,20
Linn,3601,57
Malheur,3353,58
Marion,18541,285
Morrow,1049,14
Multnomah,31935,542
Polk,3073,43
Sherman,53,0
Tillamook,421,2
Umatilla,7678,82
Union,1295,19
Wallowa,142,5
Wasco,1221,26
Washington,21311,212
Wheeler,22,1
Yamhill,3791,68
Total,156287,2252
