County,Cases1,Deaths2,Negatives3
Baker,64,1,1313
Benton,202,6,9955
Clackamas,1833,55,48107
Clatsop,93,0,4497
Columbia,125,1,5482
Coos,99,0,4963
Crook,54,1,2156
Curry,20,0,1244
Deschutes,672,11,22790
Douglas,169,2,9704
Gilliam,4,0,236
Grant,8,0,647
Harney,11,0,663
Hood River,225,0,4253
Jackson,713,2,22885
Jefferson,448,6,4023
Josephine,151,2,8288
Klamath,225,2,8555
Lake,32,0,613
Lane,656,5,50003
Lincoln,453,11,7412
Linn,362,12,12817
Malheur,1044,16,3986
Marion,3547,75,37325
Morrow,424,3,1399
Multnomah,5718,109,111427
Polk,395,13,6581
Sherman,16,0,296
Tillamook,37,0,2430
Umatilla,2547,32,10778
Union,408,2,2821
Wallowa,21,1,791
Wasco,207,3,4178
Washington,3575,35,72172
Wheeler,0,0,147
Yamhill,597,14,13245
Total,25155,420,498182
