County,Cases1,Deaths2,Negatives3
Baker,1,0,138
Benton,54,5,3216
Clackamas,286,9,8925
Clatsop,38,0,1098
Columbia,16,0,1176
Coos,30,0,1062
Crook,1,0,401
Curry,4,0,253
Deschutes,101,0,3734
Douglas,25,0,1891
Gilliam,0,0,46
Grant,1,0,92
Harney,1,0,122
Hood River,14,0,853
Jackson,51,0,5370
Jefferson,24,0,619
Josephine,25,1,1583
Klamath,41,0,2878
Lake,0,0,99
Lane,65,2,7466
Lincoln,8,0,1124
Linn,109,8,3080
Malheur,21,0,480
Marion,843,24,7254
Morrow,12,0,132
Multnomah,996,55,20443
Polk,93,9,1425
Sherman,1,0,62
Tillamook,6,0,533
Umatilla,98,2,1261
Union,6,0,208
Wallowa,1,0,79
Wasco,18,1,939
Washington,638,15,13254
Wheeler,0,0,71
Yamhill,59,7,2245
Total,3687,138,93612
