County,Positive,Deaths,Negative
Baker,0,0,13
Benton,19,1,443
Clackamas,78,3,1687
Clatsop,4,0,155
Columbia,3,0,169
Coos,0,0,183
Crook,1,0,24
Curry,0,0,58
Deschutes,39,0,468
Douglas,11,0,310
Gilliam,0,0,7
Grant,1,0,9
Harney,0,0,36
Hood River,2,0,167
Jackson,33,0,2133
Jefferson,0,0,33
Josephine,13,0,364
Klamath,14,0,230
Lake,0,0,27
Lane,24,1,804
Lincoln,4,0,124
Linn,41,2,880
Malheur,2,0,72
Marion,188,5,1567
Morrow,2,0,27
Multnomah,209,6,4209
Polk,22,1,339
Sherman,0,0,5
Tillamook,3,0,91
Umatilla,5,0,181
Union,3,0,28
Wallowa,1,0,10
Wasco,7,0,151
Washington,247,4,2403
Wheeler,0,0,2
Yamhill,23,3,517
Total,999,26,17926
