County,Cases1,Deaths2
Baker,1007,15
Benton,3252,22
Clackamas,18838,235
Clatsop,1042,8
Columbia,1903,29
Coos,2164,37
Crook,1285,23
Curry,696,11
Deschutes,9974,81
Douglas,3841,81
Gilliam,76,1
Grant,548,7
Harney,430,9
Hood River,1218,33
Jackson,11498,146
Jefferson,2361,38
Josephine,3568,72
Klamath,4768,78
Lake,467,8
Lane,13846,162
Lincoln,1425,21
Linn,5553,80
Malheur,3607,63
Marion,23347,322
Morrow,1153,16
Multnomah,40228,614
Polk,3965,55
Sherman,66,1
Tillamook,660,4
Umatilla,8564,87
Union,1491,24
Wallowa,194,5
Wasco,1437,30
Washington,26714,247
Wheeler,35,1
Yamhill,4767,79
Total,205988,2745
