County,Positive,Deaths,Negative
Baker,0,0,17
Benton,21,1,489
Clackamas,97,3,2052
Clatsop,5,0,206
Columbia,8,0,218
Coos,0,0,264
Crook,1,0,36
Curry,2,0,80
Deschutes,44,0,574
Douglas,12,0,411
Gilliam,0,0,9
Grant,1,0,16
Harney,0,0,38
Hood River,2,0,198
Jackson,39,0,2437
Jefferson,0,0,50
Josephine,16,0,470
Klamath,19,0,328
Lake,0,0,38
Lane,30,1,963
Lincoln,4,0,174
Linn,45,2,999
Malheur,2,0,102
Marion,215,9,1915
Morrow,2,0,34
Multnomah,258,7,5015
Polk,28,1,394
Sherman,1,0,7
Tillamook,3,0,117
Umatilla,8,0,250
Union,3,0,50
Wallowa,1,0,14
Wasco,7,0,202
Washington,282,6,2999
Wheeler,0,0,4
Yamhill,25,3,656
Total,1181,33,21826
