County,Cases1,Deaths2
Baker,783,12
Benton,2621,18
Clackamas,14574,200
Clatsop,851,7
Columbia,1441,25
Coos,1912,30
Crook,823,19
Curry,564,9
Deschutes,6504,71
Douglas,2944,64
Gilliam,54,1
Grant,300,4
Harney,297,6
Hood River,1088,29
Jackson,9433,123
Jefferson,2024,32
Josephine,2872,62
Klamath,3107,57
Lake,406,7
Lane,10976,144
Lincoln,1238,20
Linn,3924,61
Malheur,3406,58
Marion,19547,298
Morrow,1064,15
Multnomah,33689,563
Polk,3298,49
Sherman,54,0
Tillamook,541,2
Umatilla,7893,83
Union,1394,22
Wallowa,151,5
Wasco,1247,28
Washington,22625,228
Wheeler,25,1
Yamhill,3988,74
Total,167658,2427
