County,Cases1,Deaths2,Negatives3
Baker,94,2,1766
Benton,314,6,13214
Clackamas,2420,61,61232
Clatsop,217,0,5588
Columbia,179,1,6999
Coos,157,0,6933
Crook,62,1,2576
Curry,31,0,1815
Deschutes,852,12,29974
Douglas,233,4,12869
Gilliam,8,0,280
Grant,10,0,896
Harney,12,0,813
Hood River,252,0,5002
Jackson,1161,5,33653
Jefferson,541,8,4796
Josephine,198,2,11914
Klamath,280,2,10219
Lake,33,0,885
Lane,1234,17,64363
Lincoln,482,13,8662
Linn,522,13,16424
Malheur,1633,27,5240
Marion,4695,94,47835
Morrow,505,6,1757
Multnomah,7204,138,142098
Polk,532,15,8993
Sherman,18,0,338
Tillamook,53,0,3058
Umatilla,2987,41,13135
Union,446,2,3599
Wallowa,31,1,987
Wasco,296,3,5095
Washington,4540,60,91723
Wheeler,0,0,163
Yamhill,762,13,17141
Total,32994,547,642035
