County,Cases1,Deaths2,Negatives3
Baker,1,0,294
Benton,63,5,4183
Clackamas,393,13,13978
Clatsop,45,0,1748
Columbia,17,0,1795
Coos,32,0,1806
Crook,6,0,693
Curry,7,0,431
Deschutes,134,0,6618
Douglas,29,0,3244
Gilliam,0,0,68
Grant,1,0,119
Harney,1,0,260
Hood River,65,0,1627
Jackson,71,0,8003
Jefferson,58,0,1206
Josephine,23,1,2738
Klamath,46,0,3863
Lake,2,0,176
Lane,81,3,13950
Lincoln,157,0,2182
Linn,124,9,4879
Malheur,33,1,830
Marion,1066,30,11215
Morrow,13,0,212
Multnomah,1329,66,31441
Polk,104,12,2120
Sherman,1,0,113
Tillamook,6,0,849
Umatilla,144,3,1975
Union,7,0,549
Wallowa,3,0,182
Wasco,34,1,1605
Washington,807,18,20080
Wheeler,0,0,101
Yamhill,85,7,3464
Total,4988,169,"148,597"
