County,Cases1,Deaths2,Negatives3
Baker,1,0,184
Benton,55,5,3590
Clackamas,300,10,10771
Clatsop,45,0,1417
Columbia,16,0,1434
Coos,31,0,1322
Crook,6,0,525
Curry,6,0,316
Deschutes,120,0,4863
Douglas,25,0,2248
Gilliam,0,0,54
Grant,1,0,97
Harney,1,0,185
Hood River,13,0,961
Jackson,65,0,6305
Jefferson,24,0,795
Josephine,25,1,2010
Klamath,41,0,3240
Lake,2,0,122
Lane,67,2,8880
Lincoln,11,0,1381
Linn,115,9,3779
Malheur,28,0,638
Marion,920,25,8943
Morrow,12,0,155
Multnomah,1093,58,24605
Polk,98,10,1711
Sherman,1,0,74
Tillamook,6,0,637
Umatilla,112,3,1506
Union,6,0,344
Wallowa,2,0,101
Wasco,20,1,1062
Washington,703,17,15914
Wheeler,0,0,79
Yamhill,67,7,2691
Total,4038,148,112939
