County,Cases1,Deaths2
Baker,907,14
Benton,2853,19
Clackamas,16087,207
Clatsop,932,8
Columbia,1617,26
Coos,2016,32
Crook,957,19
Curry,619,9
Deschutes,7756,73
Douglas,3112,69
Gilliam,57,1
Grant,475,4
Harney,323,8
Hood River,1150,30
Jackson,10329,129
Jefferson,2100,32
Josephine,3165,65
Klamath,3850,59
Lake,425,7
Lane,12138,144
Lincoln,1333,20
Linn,4384,64
Malheur,3448,59
Marion,20922,300
Morrow,1088,15
Multnomah,36242,574
Polk,3553,52
Sherman,57,1
Tillamook,606,3
Umatilla,8044,84
Union,1426,23
Wallowa,162,5
Wasco,1339,28
Washington,24307,229
Wheeler,26,1
Yamhill,4235,75
Total,182040,2488
