County,Cases1,Deaths2
Baker,673,9
Benton,2360,17
Clackamas,13449,190
Clatsop,779,6
Columbia,1277,21
Coos,1576,21
Crook,781,18
Curry,436,6
Deschutes,6016,65
Douglas,2574,55
Gilliam,54,1
Grant,230,1
Harney,277,6
Hood River,1070,29
Jackson,8543,118
Jefferson,1976,30
Josephine,2390,56
Klamath,2809,55
Lake,383,6
Lane,10357,131
Lincoln,1137,20
Linn,3613,57
Malheur,3358,58
Marion,18600,287
Morrow,1050,14
Multnomah,31996,550
Polk,3085,45
Sherman,53,0
Tillamook,426,2
Umatilla,7707,82
Union,1305,19
Wallowa,144,5
Wasco,1221,26
Washington,21360,217
Wheeler,22,1
Yamhill,3797,69
Total,156884,2293
