County,Cases1,Deaths2
Baker,639,7
Benton,2278,16
Clackamas,13260,170
Clatsop,770,6
Columbia,1232,21
Coos,1385,18
Crook,771,18
Curry,410,6
Deschutes,5893,58
Douglas,2375,51
Gilliam,53,1
Grant,222,1
Harney,272,6
Hood River,1060,29
Jackson,8198,108
Jefferson,1934,27
Josephine,2288,49
Klamath,2765,54
Lake,374,6
Lane,10096,122
Lincoln,1123,20
Linn,3544,55
Malheur,3336,58
Marion,18246,282
Morrow,1036,13
Multnomah,31669,515
Polk,3006,42
Sherman,52,0
Tillamook,406,2
Umatilla,7600,81
Union,1269,19
Wallowa,142,4
Wasco,1218,25
Washington,20962,209
Wheeler,22,1
Yamhill,3739,62
Total,153645,2162
