Hospital_Capacity_(as_reported_to_OHA_by_hospitals),Available,Total
Adult ICU beds,302,739
Adult non-ICU beds,2175,6809
Pediatric NICU/PICU beds,92,198
Pediatric non-ICU beds,192,287
Ventilators,785,
