County,Cases1,Deaths2
Baker,650,7
Benton,2325,16
Clackamas,13328,175
Clatsop,775,6
Columbia,1248,21
Coos,1440,19
Crook,775,18
Curry,424,6
Deschutes,5934,59
Douglas,2447,54
Gilliam,53,1
Grant,222,1
Harney,273,6
Hood River,1064,29
Jackson,8315,111
Jefferson,1951,28
Josephine,2328,49
Klamath,2784,55
Lake,374,6
Lane,10200,126
Lincoln,1128,20
Linn,3577,56
Malheur,3344,58
Marion,18373,285
Morrow,1046,14
Multnomah,31824,528
Polk,3039,42
Sherman,53,0
Tillamook,414,2
Umatilla,7639,82
Union,1281,19
Wallowa,142,4
Wasco,1220,26
Washington,21099,212
Wheeler,22,1
Yamhill,3767,64
Total,154878,2206
