County,Cases1,Deaths2,Negatives3
Baker,40,0,1079
Benton,171,6,8854
Clackamas,1571,44,41631
Clatsop,89,0,3885
Columbia,101,0,4689
Coos,91,0,4205
Crook,50,1,1825
Curry,17,0,1090
Deschutes,616,10,19624
Douglas,156,1,8607
Gilliam,4,0,199
Grant,4,0,565
Harney,10,0,596
Hood River,201,0,3892
Jackson,486,2,20336
Jefferson,377,4,3572
Josephine,124,2,7186
Klamath,204,2,7649
Lake,32,0,551
Lane,596,3,45000
Lincoln,419,9,6996
Linn,296,11,11373
Malheur,822,13,3526
Marion,2979,73,32868
Morrow,377,3,1250
Multnomah,5014,98,96942
Polk,326,12,5563
Sherman,16,0,273
Tillamook,34,0,2169
Umatilla,2312,30,9751
Union,395,2,2655
Wallowa,19,1,723
Wasco,194,3,3776
Washington,3161,25,61576
Wheeler,0,0,139
Yamhill,470,13,10699
Total,21774,368,435314
