County,Cases1,Deaths2,Negatives3
Baker,36,0,991
Benton,162,6,8419
Clackamas,1464,38,39167
Clatsop,83,0,3570
Columbia,86,0,4441
Coos,89,0,4008
Crook,42,1,1746
Curry,14,0,1045
Deschutes,555,8,18397
Douglas,140,1,8038
Gilliam,4,0,186
Grant,2,0,520
Harney,10,0,575
Hood River,178,0,3642
Jackson,421,1,19208
Jefferson,332,3,3304
Josephine,108,2,6803
Klamath,200,1,7297
Lake,32,0,501
Lane,540,3,42093
Lincoln,414,9,6795
Linn,263,10,10833
Malheur,715,12,3224
Marion,2755,68,30541
Morrow,327,2,1145
Multnomah,4608,93,89780
Polk,301,12,4973
Sherman,14,0,254
Tillamook,34,0,2068
Umatilla,2141,26,9131
Union,392,2,2489
Wallowa,19,1,681
Wasco,172,3,3542
Washington,2921,24,57697
Wheeler,0,0,137
Yamhill,404,12,9582
Total,19979,338,406823
