Updated_6/11/2021_with_data_from_12:01_am_(updated_Monday_-_Friday)
Total cases,"204,587"
Total deaths,"2,726"
Positive tests,"296,868"
Negative tests,"4,945,333"
Total tests,"5,242,201"
