County,Cases1,Deaths2
Baker,591,5
Benton,1931,14
Clackamas,12616,151
Clatsop,740,5
Columbia,1119,20
Coos,1115,16
Crook,695,15
Curry,335,5
Deschutes,5450,45
Douglas,1878,48
Gilliam,53,1
Grant,218,1
Harney,198,6
Hood River,1023,25
Jackson,7553,103
Jefferson,1782,25
Josephine,2012,36
Klamath,2655,52
Lake,274,6
Lane,9226,114
Lincoln,1073,18
Linn,3342,50
Malheur,3266,56
Marion,17359,263
Morrow,990,12
Multnomah,30234,480
Polk,2740,41
Sherman,52,0
Tillamook,381,2
Umatilla,7191,74
Union,1190,18
Wallowa,105,3
Wasco,1173,23
Washington,19961,191
Wheeler,22,1
Yamhill,3435,56
Total,143978,1981
