County,Cases1,Deaths2
Baker,680,10
Benton,2396,18
Clackamas,13551,191
Clatsop,779,6
Columbia,1285,21
Coos,1626,21
Crook,782,18
Curry,458,7
Deschutes,6053,65
Douglas,2640,56
Gilliam,54,1
Grant,230,1
Harney,278,6
Hood River,1073,29
Jackson,8654,119
Jefferson,1983,30
Josephine,2436,56
Klamath,2834,55
Lake,388,6
Lane,10421,132
Lincoln,1145,20
Linn,3640,57
Malheur,3367,58
Marion,18723,288
Morrow,1052,14
Multnomah,32116,551
Polk,3107,45
Sherman,53,0
Tillamook,442,2
Umatilla,7726,82
Union,1312,19
Wallowa,144,5
Wasco,1222,26
Washington,21507,218
Wheeler,22,1
Yamhill,3828,69
Total,158007,2303
