County,Total Cases1,Total deaths2
Baker,676,9
Benton,2377,18
Clackamas,13482,191
Clatsop,779,6
Columbia,1278,21
Coos,1595,21
Crook,781,18
Curry,446,7
Deschutes,6035,65
Douglas,2604,55
Gilliam,54,1
Grant,230,1
Harney,278,6
Hood River,1072,29
Jackson,8582,118
Jefferson,1979,30
Josephine,2405,56
Klamath,2817,55
Lake,386,6
Lane,10388,131
Lincoln,1140,20
Linn,3620,57
Malheur,3365,58
Marion,18640,287
Morrow,1051,14
Multnomah,32024,550
Polk,3096,45
Sherman,53,0
Tillamook,434,2
Umatilla,7709,82
Union,1305,19
Wallowa,144,5
Wasco,1222,26
Washington,21400,217
Wheeler,22,1
Yamhill,3816,69
Total,157285,2296
