County,Positive,Deaths,Negative
Baker,0,0,13
Benton,17,1,372
Clackamas,66,3,1489
Clatsop,4,0,141
Columbia,1,0,153
Coos,0,0,180
Crook,1,0,22
Curry,0,0,58
Deschutes,36,0,412
Douglas,9,0,295
Gilliam,0,0,7
Grant,1,0,5
Harney,0,0,36
Hood River,3,0,157
Jackson,27,0,2028
Jefferson,0,0,28
Josephine,12,0,321
Klamath,13,0,214
Lake,0,0,26
Lane,21,1,740
Lincoln,4,0,124
Linn,37,2,853
Malheur,2,0,63
Marion,178,4,1461
Morrow,2,0,27
Multnomah,175,3,3915
Polk,20,1,315
Sherman,0,0,4
Tillamook,3,0,80
Umatilla,5,0,180
Union,3,0,28
Wallowa,1,0,9
Wasco,7,0,135
Washington,228,4,2156
Wheeler,0,0,2
Yamhill,23,3,486
Total,899,22,16535
