County,Cases1,Deaths2
Baker,587,5
Benton,1855,14
Clackamas,12251,142
Clatsop,722,5
Columbia,1090,18
Coos,1029,16
Crook,676,15
Curry,327,5
Deschutes,5303,42
Douglas,1814,47
Gilliam,53,1
Grant,217,1
Harney,191,6
Hood River,999,23
Jackson,7267,98
Jefferson,1746,25
Josephine,1884,36
Klamath,2581,49
Lake,263,5
Lane,8900,113
Lincoln,1045,17
Linn,3250,50
Malheur,3233,55
Marion,16951,255
Morrow,973,11
Multnomah,29512,473
Polk,2622,41
Sherman,48,0
Tillamook,374,2
Umatilla,7058,74
Union,1161,17
Wallowa,100,3
Wasco,1129,23
Washington,19476,184
Wheeler,20,1
Yamhill,3356,52
Total,140063,1924
